Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-09-11,1.0,9.2,4.0,0.5,0.0,2.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,22.6,9.2,0.0
2025-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,2.0,2.2,0.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.4,2.2,0.0
2025-09-14,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2025-09-15,11.0,26.8,6.0,18.6,20.5,4.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,93.0,26.8,0.0
2025-09-23,1.5,16.6,4.0,1.6,18.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,76.1,31.0,0.0
2025-09-24,23.0,32.0,18.5,38.1,32.5,18.5,5.3,0.0,0.0,0.0,5.9,5.2,5.5,77.0,24.5,0.0,286.0,77.0,0.0
2025-09-25,36.2,57.3,38.4,67.6,65.1,22.1,33.2,0.0,,0.0,0.0,4.6,14.5,55.0,36.0,0.0,430.0,67.6,0.0
2025-09-26,30.8,62.5,25.2,43.5,50.0,23.0,33.0,0.2,0.0,0.0,15.0,15.3,0.0,17.0,16.5,0.0,332.0,62.5,0.0
2025-09-27,14.5,12.0,26.9,25.6,8.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,104.1,26.9,0.0
2025-09-28,0.5,8.6,0.0,0.3,1.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,8.6,0.0
